City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,nago,26.5881,127.9761,65.25,54,17,9.86,JP,1706488335
306,la ronge,55.1001,-105.2842,35.85,75,40,4.61,CA,1706488336
307,tralee,52.2704,-9.7026,42.06,88,100,1.54,IE,1706488336
308,howrah,22.5892,88.3103,55.4,88,20,0.0,IN,1706488336
309,zykovo,55.9519,93.1461,-8.01,99,97,3.27,RU,1706488336
310,coahuayana de hidalgo,18.7,-103.6583,80.29,67,59,4.0,MX,1706488068
311,yamada,39.4667,141.95,39.67,59,4,2.46,JP,1706488032
312,saynshand,44.8824,110.1163,-14.42,97,36,3.18,MN,1706488337
313,ust'-ilimsk,58.0006,102.6619,-29.78,100,12,3.0,RU,1706488337
314,mount isa,-20.7333,139.5,82.17,54,98,6.91,AU,1706488046
315,meiganga,6.5167,14.3,64.65,31,11,4.83,CM,1706488337
316,hassi messaoud,31.6804,6.0729,53.46,71,0,5.75,DZ,1706488056
317,nishinoomote,30.7333,131.0,50.56,61,20,5.75,JP,1706488337
318,naze,28.3667,129.4833,56.32,56,76,8.79,JP,1706488338
319,ponta delgada,37.7333,-25.6667,54.32,71,20,5.75,PT,1706488338
320,tolanaro,-25.0319,46.9987,75.27,83,75,8.05,MG,1706488049
321,lamu,-2.2717,40.902,80.82,87,26,9.08,KE,1706488338
322,mugia,43.1041,-9.2179,62.91,71,100,21.85,ES,1706488338
323,astrakhan,46.3497,48.0408,21.07,92,100,7.0,RU,1706488339
324,igarka,67.4667,86.5833,2.66,87,100,13.69,RU,1706488339
325,laguna,38.421,-121.4238,72.3,65,0,4.61,US,1706488066
326,rio grande,-32.035,-52.0986,73.51,85,6,9.69,BR,1706488339
327,sarandi del yi,-33.35,-55.6333,69.3,71,0,9.89,UY,1706488339
328,azna,33.6095,48.9307,31.71,89,68,3.06,IR,1706488340
329,badger,64.8,-147.5333,-19.28,67,100,3.44,US,1706488340
330,saldanha,-33.0117,17.9442,64.45,90,100,2.95,ZA,1706488038
331,port augusta,-32.5,137.7667,84.81,35,0,8.68,AU,1706488038
332,tikhvin,59.6451,33.5294,29.21,92,100,10.31,RU,1706488340
333,kapa'a,22.0752,-159.319,83.1,72,75,19.57,US,1706488078
334,tara,56.8944,74.371,10.44,96,100,6.42,RU,1706488340
335,enewetak,11.3474,162.3373,79.03,72,100,16.64,MH,1706488067
336,varenikovskaya,45.1209,37.6417,34.12,97,98,8.14,RU,1706488341
337,road town,18.4167,-64.6167,77.09,73,20,8.05,VG,1706488341
338,boa vista,2.8197,-60.6733,87.78,48,40,13.8,BR,1706488341
339,tekkali,18.6167,84.2333,63.55,84,17,3.31,IN,1706488342
340,port alfred,-33.5906,26.891,68.18,91,84,1.01,ZA,1706488021
341,bafata,12.1667,-14.75,72.77,39,36,1.7,GW,1706488342
342,queenstown,-31.8976,26.8753,66.11,72,28,2.98,ZA,1706488342
343,rundu,-17.9333,19.7667,71.73,55,27,3.04,NA,1706488342
